Site,Nematomorpha,proboscis worm,Barbronia,Alboglossiphonia,Helobdella,Branchiura,Oligio,Arachnid,Styloniscus,Copepoda,Acari,Cladocera,Subclass: Collembola,Elmidae (lavae),Hydrophilid (adult),Hydrophilid (larvae),Ptilodactylidae ,sub fam: Chironominae,subfam: Orthocladiinae,Subfam: Tanypodinae ,Culex ,Paradixae,Ephydridae,Limonia,Paralimnophila,tribe: Eriopterini,tribe: Hexatomini,Muscidae,Psychodidae,Austrosimulium,Tabanidae,Mischoderus,Zelandotipula,Coloburiscus,Zephlebia,Deleatidium,Mauiulus,Neozephlebia,Austroclima,Sigara,Mesoveliidae,Anisops,Microvelia,Archichauliodes,Xanthocnemis,Procordulia,Antipodochlora,Austrolestes ,megaleptoperla ,Psilochorema,pycnocentria,Pycnocentrodes,Ecnomina,Edpercivalia,Hydrochorema  ,Hydrobiosis,Neurochorema,Aoteapsyche,Orthopsyche,Ecnomina,oxyethira,Paroxyethira,Hydroptilidae,Hudsonema,Oecetis,Triplectides,Oeconesidae,Plectrocnemia,Polyplectropus,Amphipods,Parenehrops ,Ostracoda,Sphaeriidae,Lymnaea,Pseudosuccinea,Physa,Ferrissia,Glyptophysa,Gyraulus,Latia,Potamopyrgus,Dalyellidae,Cura,Austrostes ,CulexPupa,Terestrial
F11,0,0,0,0,1,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0,1,0,2,4
F12,0,0,0,0,0,1,92,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,0,0,11,3,0,0,0,164,0,4,0,1,0
F13,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,0,0,49,1,0,0,0,98,0,3,0,0,2
F14,0,0,0,3,0,0,87,3,0,0,0,0,0,0,0,0,0,14,4,22,0,20,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,476,1,0,9,0,0,0,0,0,0,0,50,0,0,0,2,0
F15,0,0,0,1,0,1,44,0,0,0,0,0,0,181,0,0,0,85,70,3,0,0,0,0,0,0,0,1,0,5,0,0,0,14,30,0,15,0,0,0,0,0,6,6,0,0,0,0,0,0,3,27,1,0,0,7,0,160,0,12,328,0,3,5,0,17,0,0,1,128,0,0,0,0,0,11,23,0,0,11,454,2,9,0,7,2
F16,0,0,0,1,0,0,10,0,0,14,0,1700,0,0,1,0,0,7,17,28,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,20,1170,0,950,11,0,0,76,0,0,1,0,1240,0,2,1,2,0
F17,0,0,0,1,0,0,25,2,0,0,1,516,0,0,0,0,0,70,43,55,0,20,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,6,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,1652,0,262,3,0,0,85,0,0,0,0,1088,6,4,0,3,6
F18,0,1,0,1,0,0,36,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,18,2,0,0,67,1,0,0,0,821,0,22,0,0,0
F19,0,0,0,2,2,0,120,0,0,0,0,2,0,0,0,1,0,10,0,1,33,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,358,12,0,0,4,0,0,0,0,444,0,30,0,4,5
F20,0,0,0,0,0,0,69,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,4,0,2,10,1,0,0,0,544,0,3,0,0,0
F21,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,0,10,0,105,0,15,0,0,0,0,1,0,0,0,0,1,0,0,105,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,12,129,0,1,5,0,0,0,2,0,3,0,23,3,0,0,1,1
F22,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,3,15,0,2,1,0,1,0,1,0,0,6,0,0,0,0,24,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,2,3,0,0,105,0,0,6,0,0,2,0,0,0,0,435,1,3,0,0,2
F23,0,1,0,31,0,0,70,0,0,0,0,0,0,253,0,0,0,1,2,0,0,1,0,0,0,0,2,0,0,20,0,0,0,0,65,13,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,2,0,3,1,0,0,28,0,65,0,0,0,1,0,0,0,0,1367,0,63,0,0,0
F24,1,0,0,0,0,0,32,1,0,0,0,0,0,1,0,0,0,30,12,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,54,7,0,17,0,0,0,0,4,3,0,4,0,0,1,0,5,0,0,3,0,1,0,0,15,0,0,0,0,0,0,7,0,2,8,11,0,4,0,0,0,0,11,0,0,0,30,0,1,0,1,1
F25,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,35,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,154,1,0,0,0,0,0,7,0,0,0,50,0,0,0,3,0
F26,0,0,0,0,0,0,58,3,0,0,1,0,0,23,0,0,0,2,34,20,0,6,0,0,0,0,0,0,0,53,1,0,1,4,15,7,3,0,0,0,4,0,0,20,0,3,1,1,0,2,4,0,0,0,0,3,0,0,3,0,4,0,0,3,0,44,2,0,0,413,0,9,1,0,0,12,30,0,0,9,394,0,12,0,3,6
F27,0,0,0,1,0,0,54,6,0,0,0,0,0,50,0,0,1,11,28,48,0,20,0,1,7,1,0,1,0,10,0,0,0,0,89,5,15,0,10,7,0,0,0,6,0,2,4,0,0,0,2,0,0,0,6,10,0,0,1,0,11,0,1,0,0,8,1,2,0,1109,0,36,5,0,0,1,6,0,0,0,890,0,7,0,5,7
F28,0,1,0,1,0,0,48,0,0,0,0,0,0,3,0,0,0,6,3,12,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,22,0,0,4,3,23,1,5,2,116,0,274,1,0,0,28,0,0,0,0,0,0,22,0,0,0
F29,0,2,0,0,0,0,150,0,0,0,0,0,1,0,0,0,0,4,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,154,0,652,0,0,0,14,0,0,0,0,4,0,284,0,0,0
