Num,Year,Half.Of.Year,Bio.Code,Bio.Code.Name,Species,Korean Species,Density
39,2009,1,2002G098,B???7,Achnanthes lanceolata,????,757
40,2009,1,2002G098,B???7,Achnanthes lanceolata ssp. robusta,????,1515
41,2009,1,2002G098,B???7,Achnanthes laterostrata,????,757
42,2009,1,2002G098,B???7,Achnanthes minutissima,????,711844
43,2009,1,2002G098,B???7,Achnanthes minutissima var. jackii,????,757
44,2009,1,2002G098,B???7,Achnanthes subhudsonis,????,757
45,2009,1,2002G098,B???7,Amphora copulata,????,757
46,2009,1,2002G098,B???7,Amphora pediculus,????,10602
47,2009,1,2002G098,B???7,Caloneis silicula,????,757
48,2009,1,2002G098,B???7,Cocconeis pediculus,????,3029
49,2009,1,2002G098,B???7,Cocconeis placentula var. euglypta,????,4544
50,2009,1,2002G098,B???7,Cocconeis placentula var. lineata,????,6058
51,2009,1,2002G098,B???7,Cyclotella meneghiniana,????,757
52,2009,1,2002G098,B???7,Cyclotella ocellata,????,1515
53,2009,1,2002G098,B???7,Cyclotella pseudostelligera,????,757
54,2009,1,2002G098,B???7,Cyclotella radiosa,????,757
55,2009,1,2002G098,B???7,Cyclotella stelligera,????,757
56,2009,1,2002G098,B???7,Cymbella affinis,????,757
57,2009,1,2002G098,B???7,Cymbella delicatula,????,757
58,2009,1,2002G098,B???7,Cymbella elginensis,????,2272
59,2009,1,2002G098,B???7,Cymbella leptoceros,????,757
60,2009,1,2002G098,B???7,Cymbella silesiaca,????,1515
61,2009,1,2002G098,B???7,Denticula tenuis,????,757
62,2009,1,2002G098,B???7,Diatoma vulgaris,???,757
63,2009,1,2002G098,B???7,Encyonopsis leei,null,3786
64,2009,1,2002G098,B???7,Epithemia adnata,????,757
65,2009,1,2002G098,B???7,Fragilaria capucina,????,3029
66,2009,1,2002G098,B???7,Fragilaria capucina var. mesolepta,????,757
67,2009,1,2002G098,B???7,Fragilaria construens f. venter,????,3029
68,2009,1,2002G098,B???7,Fragilaria fragilarioides,????,757
69,2009,1,2002G098,B???7,Fragilaria pinnata,????,757
70,2009,1,2002G098,B???7,Fragilaria robusta,????,1515
71,2009,1,2002G098,B???7,Fragilaria ulna,????,757
72,2009,1,2002G098,B???7,Gomphonema clevei,????,757
73,2009,1,2002G098,B???7,Gomphonema parvulum,????,757
74,2009,1,2002G098,B???7,Gomphonema pseudosphaerophorum,????,757
75,2009,1,2002G098,B???7,Hantzschia amphioxys,????,757
76,2009,1,2002G098,B???7,Melosira varians,????,757
77,2009,1,2002G098,B???7,Navicula bacillum,????,757
78,2009,1,2002G098,B???7,Navicula capitatoradiata,????,757
79,2009,1,2002G098,B???7,Navicula cryptocephala,????,1515
80,2009,1,2002G098,B???7,Navicula cryptotenella,????,757
81,2009,1,2002G098,B???7,Navicula cuspidata,????,757
82,2009,1,2002G098,B???7,Navicula decussis,????,757
83,2009,1,2002G098,B???7,Navicula gregaria,????,1515
84,2009,1,2002G098,B???7,Navicula pupula,????,757
85,2009,1,2002G098,B???7,Navicula subminuscula,????,757
86,2009,1,2002G098,B???7,Nitzschia amphibia,????,757
87,2009,1,2002G098,B???7,Nitzschia fonticola,????,9845
88,2009,1,2002G098,B???7,Nitzschia palea,????,757
89,2009,1,2002G098,B???7,Nitzschia paleacea,????,757
90,2009,1,2002G098,B???7,Nitzschia tabellaria,????,2272
91,2009,1,2002G098,B???7,Pinnularia karelica,????,757
92,2009,1,2002G098,B???7,Reimeria sinuata,?????,8330
93,2009,1,2002G098,B???7,Rhoicosphenia abbreviata,????,757
94,2009,1,2002G098,B???7,Stephanodiscus hantzschii,??????,757
95,2009,1,2003G078,B???10,Achnanthes clevei,????,851
96,2009,1,2003G078,B???10,Achnanthes convergens,????,34460
97,2009,1,2003G078,B???10,Achnanthes exigua,????,425
98,2009,1,2003G078,B???10,Achnanthes lanceolata,????,425
99,2009,1,2003G078,B???10,Achnanthes lanceolata ssp. robusta,????,425
100,2009,1,2003G078,B???10,Achnanthes minutissima,????,91469
101,2009,1,2003G078,B???10,Achnanthes minutissima var. jackii,????,9785
102,2009,1,2003G078,B???10,Achnanthes subhudsonis,????,4680
103,2009,1,2003G078,B???10,Amphora pediculus,????,5105
104,2009,1,2003G078,B???10,Aulacoseira granulata,????,425
105,2009,1,2003G078,B???10,Caloneis bacillum,????,851
106,2009,1,2003G078,B???10,Caloneis silicula,????,425
107,2009,1,2003G078,B???10,Cocconeis pediculus,????,851
108,2009,1,2003G078,B???10,Cocconeis placentula var. lineata,????,851
109,2009,1,2003G078,B???10,Cyclotella radiosa,????,425
110,2009,1,2003G078,B???10,Cymbella silesiaca,????,29355
111,2009,1,2003G078,B???10,Diatoma vulgaris,???,425
112,2009,1,2003G078,B???10,Fragilaria (other),????,4254
113,2009,1,2003G078,B???10,Fragilaria capucina,????,1276
114,2009,1,2003G078,B???10,Fragilaria capucina var. vaucheriae,????,851
115,2009,1,2003G078,B???10,Fragilaria construens f. venter,????,6807
116,2009,1,2003G078,B???10,Fragilaria pinnata,????,425
117,2009,1,2003G078,B???10,Fragilaria pulchella,????,425
118,2009,1,2003G078,B???10,Fragilaria robusta,????,425
119,2009,1,2003G078,B???10,Gomphonema angustum,????,5956
120,2009,1,2003G078,B???10,Gomphonema olivaceum var. olivaceoides,????,2978
121,2009,1,2003G078,B???10,Gomphonema parvulum,????,425
122,2009,1,2003G078,B???10,Melosira varians,????,425
123,2009,1,2003G078,B???10,Navicula bacillum,????,425
124,2009,1,2003G078,B???10,Navicula capitata,????,425
125,2009,1,2003G078,B???10,Navicula cincta,????,1276
126,2009,1,2003G078,B???10,Navicula decussis,????,425
127,2009,1,2003G078,B???10,Navicula gregaria,????,1702
128,2009,1,2003G078,B???10,Navicula minima,????,8509
129,2009,1,2003G078,B???10,Navicula perminuta,????,425
130,2009,1,2003G078,B???10,Navicula pupula,????,425
131,2009,1,2003G078,B???10,Navicula viridula var. rostellata,????,425
132,2009,1,2003G078,B???10,Nitzschia amphibia,????,425
133,2009,1,2003G078,B???10,Nitzschia fonticola,????,22548
134,2009,1,2003G078,B???10,Nitzschia inconspicua,????,8083
135,2009,1,2003G078,B???10,Nitzschia palea,????,2127
136,2009,1,2003G078,B???10,Reimeria sinuata,?????,4254
137,2009,1,2003G078,B???10,Rhoicosphenia abbreviata,????,425
138,2009,1,2003G078,B???10,Stephanodiscus hantzschii,??????,425
139,2009,1,2003G078,B???10,Surirella angusta,????,425
140,2009,1,2003G078,B???10,Surirella minuta,????,425
141,2009,1,2003G078,B???10,Thalassiosira bramaputrae,?????,425
142,2009,1,2004G068,B???7,Achnanthes clevei,????,3782
143,2009,1,2004G068,B???7,Achnanthes lanceolata,????,1891
144,2009,1,2004G068,B???7,Achnanthes minutissima,????,3782
145,2009,1,2004G068,B???7,Achnanthes subhudsonis,????,1891
146,2009,1,2004G068,B???7,Amphora copulata,????,1891
147,2009,1,2004G068,B???7,Amphora pediculus,????,1891
148,2009,1,2004G068,B???7,Amphora veneta,????,1891
149,2009,1,2004G068,B???7,Caloneis bacillum,????,1891
150,2009,1,2004G068,B???7,Cocconeis pediculus,????,11346
151,2009,1,2004G068,B???7,Cocconeis placentula var. euglypta,????,3782
152,2009,1,2004G068,B???7,Cocconeis placentula var. lineata,????,3782
153,2009,1,2004G068,B???7,Cymbella elginensis,????,1891
154,2009,1,2004G068,B???7,Cymbella silesiaca,????,9455
155,2009,1,2004G068,B???7,Fragilaria capucina,????,1891
156,2009,1,2004G068,B???7,Fragilaria capucina var. vaucheriae,????,3782
157,2009,1,2004G068,B???7,Gomphonema angustum,????,1891
158,2009,1,2004G068,B???7,Melosira varians,????,1891
159,2009,1,2004G068,B???7,Navicula (other),????,1891
160,2009,1,2004G068,B???7,Navicula cincta,????,1891
161,2009,1,2004G068,B???7,Navicula decussis,????,1891
162,2009,1,2004G068,B???7,Navicula gregaria,????,1891
163,2009,1,2004G068,B???7,Navicula minima,????,1891
164,2009,1,2004G068,B???7,Navicula perminuta,????,1891
165,2009,1,2004G068,B???7,Navicula pupula,????,1891
166,2009,1,2004G068,B???7,Navicula subminuscula,????,217456
167,2009,1,2004G068,B???7,Navicula viridula var. rostellata,????,1891
168,2009,1,2004G068,B???7,Nitzschia fonticola,????,64291
169,2009,1,2004G068,B???7,Nitzschia inconspicua,????,1293389
170,2009,1,2004G068,B???7,Nitzschia linearis,????,1891
171,2009,1,2004G068,B???7,Nitzschia palea,????,3782
172,2009,1,2004G068,B???7,Nitzschia tryblionella var. salinarum,????,1891
173,2009,1,2004G068,B???7,Reimeria sinuata,?????,1891
174,2009,1,2004G068,B???7,Surirella minuta,????,1891
175,2009,1,2005G039,B??4,Achnanthes convergens,????,24514
176,2009,1,2005G039,B??4,Achnanthes minutissima,????,299611
177,2009,1,2005G039,B??4,Cocconeis pediculus,????,2724
178,2009,1,2005G039,B??4,Cocconeis placentula var. lineata,????,1362
179,2009,1,2005G039,B??4,Cyclotella meneghiniana,????,681
180,2009,1,2005G039,B??4,Cymbella delicatula,????,5447
181,2009,1,2005G039,B??4,Cymbella elginensis,????,681
182,2009,1,2005G039,B??4,Cymbella leptoceros,????,681
183,2009,1,2005G039,B??4,Cymbella silesiaca,????,1362
184,2009,1,2005G039,B??4,Diatoma vulgaris,???,1362
185,2009,1,2005G039,B??4,Encyonopsis leei,null,681
186,2009,1,2005G039,B??4,Fragilaria capucina var. mesolepta,????,681
187,2009,1,2005G039,B??4,Fragilaria robusta,????,681
188,2009,1,2005G039,B??4,Fragilaria ulna,????,681
189,2009,1,2005G039,B??4,Gomphonema angustum,????,681
190,2009,1,2005G039,B??4,Melosira varians,????,681
191,2009,1,2005G039,B??4,Nitzschia amphibia,????,681
192,2009,1,2005G039,B??4,Nitzschia fonticola,????,2043
193,2009,1,2005G039,B??4,Nitzschia linearis,????,681
194,2009,1,2005G039,B??4,Nitzschia palea,????,681
195,2009,1,2005G039,B??4,Nitzschia tabellaria,????,2043
196,2009,1,2005G039,B??4,Reimeria sinuata,?????,681
197,2009,1,2005G039,B??4,Synedra acus,?????,681
198,2009,1,2005G066,B??6,Achnanthes convergens,????,1545
199,2009,1,2005G066,B??6,Achnanthes lanceolata,????,386
200,2009,1,2005G066,B??6,Achnanthes minutissima,????,27802
201,2009,1,2005G066,B??6,Achnanthes subhudsonis,????,386
202,2009,1,2005G066,B??6,Amphora copulata,????,386
203,2009,1,2005G066,B??6,Amphora pediculus,????,1545
204,2009,1,2005G066,B??6,Cocconeis pediculus,????,772
205,2009,1,2005G066,B??6,Cocconeis placentula var. euglypta,????,772
206,2009,1,2005G066,B??6,Cocconeis placentula var. lineata,????,6951
207,2009,1,2005G066,B??6,Cyclotella meneghiniana,????,772
208,2009,1,2005G066,B??6,Cymbella delicatula,????,386
209,2009,1,2005G066,B??6,Cymbella elginensis,????,386
210,2009,1,2005G066,B??6,Cymbella silesiaca,????,772
211,2009,1,2005G066,B??6,Cymbella tumida,????,386
212,2009,1,2005G066,B??6,Diatoma moniliformis,???,386
213,2009,1,2005G066,B??6,Diatoma vulgaris,???,772
214,2009,1,2005G066,B??6,Fragilaria construens f. venter,????,15832
215,2009,1,2005G066,B??6,Fragilaria pinnata,????,386
216,2009,1,2005G066,B??6,Fragilaria robusta,????,15060
217,2009,1,2005G066,B??6,Fragilaria ulna,????,772
218,2009,1,2005G066,B??6,Gomphonema olivaceum var. olivaceoides,????,386
219,2009,1,2005G066,B??6,Gomphonema pseudosphaerophorum,????,386
220,2009,1,2005G066,B??6,Melosira varians,????,386
221,2009,1,2005G066,B??6,Navicula capitatoradiata,????,386
222,2009,1,2005G066,B??6,Navicula cryptotenella,????,386
223,2009,1,2005G066,B??6,Navicula decussis,????,386
224,2009,1,2005G066,B??6,Navicula gregaria,????,772
225,2009,1,2005G066,B??6,Navicula minima,????,7337
226,2009,1,2005G066,B??6,Navicula perminuta,????,772
227,2009,1,2005G066,B??6,Navicula viridula var. rostellata,????,386
228,2009,1,2005G066,B??6,Nitzschia fonticola,????,25099
229,2009,1,2005G066,B??6,Nitzschia inconspicua,????,1931
230,2009,1,2005G066,B??6,Nitzschia palea,????,386
231,2009,1,2005G066,B??6,Nitzschia tabellaria,????,386
232,2009,1,2005G066,B??6,Reimeria sinuata,?????,2703
233,2009,1,2005G066,B??6,Synedra acus,?????,386
234,2009,1,2005G066,B??6,Thalassiosira bramaputrae,?????,386
235,2009,1,2006G050,B???3,Achnanthes clevei,????,764
236,2009,1,2006G050,B???3,Achnanthes lanceolata,????,764
237,2009,1,2006G050,B???3,Achnanthes subhudsonis,????,764
238,2009,1,2006G050,B???3,Amphora copulata,????,764
239,2009,1,2006G050,B???3,Caloneis silicula,????,764
240,2009,1,2006G050,B???3,Cyclotella meneghiniana,????,764
241,2009,1,2006G050,B???3,Cymbella delicatula,????,764
242,2009,1,2006G050,B???3,Cymbella elginensis,????,764
243,2009,1,2006G050,B???3,Cymbella silesiaca,????,1527
244,2009,1,2006G050,B???3,Diploneis subovalis,????,764
245,2009,1,2006G050,B???3,Fragilaria construens f. venter,????,38185
246,2009,1,2006G050,B???3,Fragilaria robusta,????,2291
247,2009,1,2006G050,B???3,Fragilaria ulna,????,764
248,2009,1,2006G050,B???3,Gomphonema olivaceum var. olivaceoides,????,1527
249,2009,1,2006G050,B???3,Gomphonema parvulum,????,29784
250,2009,1,2006G050,B???3,Melosira varians,????,764
251,2009,1,2006G050,B???3,Meridion circulare var. constrictum,????,764
252,2009,1,2006G050,B???3,Navicula cryptocephala,????,764
253,2009,1,2006G050,B???3,Navicula gregaria,????,5346
254,2009,1,2006G050,B???3,Navicula minima,????,41240
255,2009,1,2006G050,B???3,Navicula perminuta,????,4582
256,2009,1,2006G050,B???3,Navicula pupula,????,764
257,2009,1,2006G050,B???3,Navicula subminuscula,????,171069
258,2009,1,2006G050,B???3,Navicula viridula var. rostellata,????,764
259,2009,1,2006G050,B???3,Nitzschia amphibia,????,764
260,2009,1,2006G050,B???3,Nitzschia fonticola,????,97754
261,2009,1,2006G050,B???3,Nitzschia inconspicua,????,209254
262,2009,1,2006G050,B???3,Nitzschia linearis,????,764
263,2009,1,2006G050,B???3,Nitzschia palea,????,3818
264,2009,1,2006G050,B???3,Reimeria sinuata,?????,40476
265,2009,1,2006G050,B???3,Surirella minuta,????,764
266,2009,1,2006G050,B???3,Thalassiosira bramaputrae,?????,764
267,2009,1,2007G070,B???16,Achnanthes convergens,????,1455
268,2009,1,2007G070,B???16,Achnanthes minutissima,????,485
269,2009,1,2007G070,B???16,Bacillaria paradoxa,???,485
270,2009,1,2007G070,B???16,Cocconeis placentula var. euglypta,????,485
271,2009,1,2007G070,B???16,Cyclotella meneghiniana,????,485
272,2009,1,2007G070,B???16,Cymbella silesiaca,????,1455
273,2009,1,2007G070,B???16,Diatoma vulgaris,???,485
274,2009,1,2007G070,B???16,Fragilaria construens f. binodis,????,485
275,2009,1,2007G070,B???16,Fragilaria construens f. venter,????,1455
276,2009,1,2007G070,B???16,Fragilaria elliptica,????,485
277,2009,1,2007G070,B???16,Navicula decussis,????,485
278,2009,1,2007G070,B???16,Navicula gregaria,????,2425
279,2009,1,2007G070,B???16,Navicula minima,????,485
280,2009,1,2007G070,B???16,Navicula perminuta,????,1455
281,2009,1,2007G070,B???16,Navicula pupula,????,485
282,2009,1,2007G070,B???16,Navicula viridula var. rostellata,????,970
283,2009,1,2007G070,B???16,Nitzschia fonticola,????,4851
284,2009,1,2007G070,B???16,Nitzschia gracilis,????,485
285,2009,1,2007G070,B???16,Nitzschia inconspicua,????,94588
286,2009,1,2007G070,B???16,Nitzschia palea,????,5336
287,2009,1,2007G070,B???16,Nitzschia sinuata var. tabellaria,????,485
288,2009,1,2007G070,B???16,Reimeria sinuata,?????,485
289,2009,1,2007G070,B???16,Synedra acus,?????,485
290,2009,1,2008G062,B??8,Achnanthes convergens,????,4337
291,2009,1,2008G062,B??8,Achnanthes laevis,????,167
292,2009,1,2008G062,B??8,Achnanthes minutissima,????,55207
293,2009,1,2008G062,B??8,Achnanthes minutissima var. jackii,????,33358
294,2009,1,2008G062,B??8,Amphora copulata,????,167
295,2009,1,2008G062,B??8,Amphora pediculus,????,167
296,2009,1,2008G062,B??8,Bacillaria paradoxa,???,167
297,2009,1,2008G062,B??8,Cocconeis pediculus,????,334
298,2009,1,2008G062,B??8,Cocconeis placentula var. euglypta,????,667
299,2009,1,2008G062,B??8,Cocconeis placentula var. lineata,????,1001
300,2009,1,2008G062,B??8,Cyclotella meneghiniana,????,167
301,2009,1,2008G062,B??8,Cymatopleura solea,????,167
302,2009,1,2008G062,B??8,Cymbella elginensis,????,167
303,2009,1,2008G062,B??8,Cymbella silesiaca,????,167
304,2009,1,2008G062,B??8,Encyonopsis leei,null,167
305,2009,1,2008G062,B??8,Fragilaria capucina,????,334
306,2009,1,2008G062,B??8,Fragilaria construens f. venter,????,500
307,2009,1,2008G062,B??8,Fragilaria robusta,????,167
308,2009,1,2008G062,B??8,Fragilaria ulna,????,167
309,2009,1,2008G062,B??8,Gyrosigma spencerii,????,167
310,2009,1,2008G062,B??8,Navicula bacillum,????,167
311,2009,1,2008G062,B??8,Navicula capitata,????,167
312,2009,1,2008G062,B??8,Navicula cryptotenella,????,334
313,2009,1,2008G062,B??8,Navicula decussis,????,167
314,2009,1,2008G062,B??8,Navicula gregaria,????,667
315,2009,1,2008G062,B??8,Navicula pupula,????,334
316,2009,1,2008G062,B??8,Navicula viridula var. rostellata,????,167
317,2009,1,2008G062,B??8,Nitzschia amphibia,????,500
318,2009,1,2008G062,B??8,Nitzschia dissipata,????,167
319,2009,1,2008G062,B??8,Nitzschia fonticola,????,834
320,2009,1,2008G062,B??8,Nitzschia linearis,????,167
321,2009,1,2008G062,B??8,Nitzschia palea,????,167
322,2009,1,2008G062,B??8,Nitzschia tabellaria,????,834
323,2009,1,2008G062,B??8,Reimeria sinuata,?????,500
324,2009,1,2008G062,B??8,Stephanodiscus hantzschii,??????,167
325,2009,1,2008G062,B??8,Synedra acus var. angustissima,?????,167
326,2009,1,2008G062,B??8,Thalassiosira bramaputrae,?????,167
327,2009,1,2008G064,B??9,Achnanthes convergens,????,4290
328,2009,1,2008G064,B??9,Achnanthes lanceolata,????,830
329,2009,1,2008G064,B??9,Achnanthes minutissima,????,57709
330,2009,1,2008G064,B??9,Achnanthes minutissima var. jackii,????,138
331,2009,1,2008G064,B??9,Amphora copulata,????,138
332,2009,1,2008G064,B??9,Amphora pediculus,????,277
333,2009,1,2008G064,B??9,Caloneis bacillum,????,138
334,2009,1,2008G064,B??9,Caloneis silicula,????,138
335,2009,1,2008G064,B??9,Cocconeis pediculus,????,277
336,2009,1,2008G064,B??9,Cocconeis placentula var. euglypta,????,277
337,2009,1,2008G064,B??9,Cocconeis placentula var. lineata,????,3875
338,2009,1,2008G064,B??9,Cyclotella meneghiniana,????,138
339,2009,1,2008G064,B??9,Cymatopleura solea,????,138
340,2009,1,2008G064,B??9,Cymbella delicatula,????,138
341,2009,1,2008G064,B??9,Cymbella elginensis,????,277
342,2009,1,2008G064,B??9,Cymbella naviculiformis,????,138
343,2009,1,2008G064,B??9,Cymbella silesiaca,????,415
344,2009,1,2008G064,B??9,Fragilaria (other),????,554
345,2009,1,2008G064,B??9,Fragilaria capucina,????,138
346,2009,1,2008G064,B??9,Fragilaria construens f. venter,????,830
347,2009,1,2008G064,B??9,Fragilaria fasciculata,????,138
348,2009,1,2008G064,B??9,Fragilaria pinnata,????,138
349,2009,1,2008G064,B??9,Fragilaria ulna,????,138
350,2009,1,2008G064,B??9,Gomphonema angustum,????,2353
351,2009,1,2008G064,B??9,Gomphonema parvulum,????,138
352,2009,1,2008G064,B??9,Melosira varians,????,138
353,2009,1,2008G064,B??9,Navicula bacillum,????,138
354,2009,1,2008G064,B??9,Navicula capitatoradiata,????,138
355,2009,1,2008G064,B??9,Navicula cryptotenella,????,415
356,2009,1,2008G064,B??9,Navicula gregaria,????,830
357,2009,1,2008G064,B??9,Navicula minima,????,969
358,2009,1,2008G064,B??9,Navicula perminuta,????,415
359,2009,1,2008G064,B??9,Navicula pupula,????,415
360,2009,1,2008G064,B??9,Navicula subminuscula,????,138
361,2009,1,2008G064,B??9,Navicula viridula var. rostellata,????,554
362,2009,1,2008G064,B??9,Nitzschia amphibia,????,138
363,2009,1,2008G064,B??9,Nitzschia inconspicua,????,415
364,2009,1,2008G064,B??9,Nitzschia palea,????,138
365,2009,1,2008G064,B??9,Nitzschia paleacea,????,138
366,2009,1,2008G064,B??9,Nitzschia tabellaria,????,415
367,2009,1,2008G064,B??9,Nitzschia tryblionella var. salinarum,????,138
368,2009,1,2008G064,B??9,Reimeria sinuata,?????,830
369,2009,1,2008G064,B??9,Surirella lata,????,138
370,2009,1,2008G064,B??9,Synedra acus,?????,138
371,2009,1,2008G064,B??9,Synedra acus var. angustissima,?????,138
372,2009,1,2008G064,B??9,Thalassiosira bramaputrae,?????,138
373,2009,1,2009G020,B???18,Achnanthes convergens,????,64546
374,2009,1,2009G020,B???18,Achnanthes minutissima,????,43402
375,2009,1,2009G020,B???18,Achnanthes minutissima var. jackii,????,334971
376,2009,1,2009G020,B???18,Achnanthes subhudsonis,????,60094
377,2009,1,2009G020,B???18,Amphora copulata,????,1113
378,2009,1,2009G020,B???18,Cocconeis pediculus,????,2226
379,2009,1,2009G020,B???18,Cocconeis placentula var. lineata,????,8903
380,2009,1,2009G020,B???18,Cyclotella meneghiniana,????,1113
381,2009,1,2009G020,B???18,Cymbella elginensis,????,1113
382,2009,1,2009G020,B???18,Cymbella silesiaca,????,3339
383,2009,1,2009G020,B???18,Diatoma vulgaris,???,1113
384,2009,1,2009G020,B???18,Fragilaria construens f. venter,????,3339
385,2009,1,2009G020,B???18,Gomphonema angustum,????,3339
386,2009,1,2009G020,B???18,Gomphonema olivaceum var. olivaceoides,????,1113
387,2009,1,2009G020,B???18,Gyrosigma spencerii,????,1113
388,2009,1,2009G020,B???18,Melosira varians,????,1113
389,2009,1,2009G020,B???18,Navicula cryptocephala,????,1113
390,2009,1,2009G020,B???18,Navicula gregaria,????,2226
391,2009,1,2009G020,B???18,Navicula minima,????,4451
392,2009,1,2009G020,B???18,Navicula perminuta,????,1113
393,2009,1,2009G020,B???18,Navicula viridula var. rostellata,????,1113
394,2009,1,2009G020,B???18,Nitzschia fonticola,????,3339
395,2009,1,2009G020,B???18,Nitzschia inconspicua,????,71223
396,2009,1,2009G020,B???18,Nitzschia tabellaria,????,1113
397,2009,1,2009G020,B???18,Rhoicosphenia abbreviata,????,1113
398,2009,1,2009G050,B???20,Achnanthes clevei,????,673
399,2009,1,2009G050,B???20,Achnanthes convergens,????,28932
400,2009,1,2009G050,B???20,Achnanthes minutissima,????,107656
401,2009,1,2009G050,B???20,Achnanthes minutissima var. jackii,????,133897
402,2009,1,2009G050,B???20,Achnanthes subhudsonis,????,35661
403,2009,1,2009G050,B???20,Amphora pediculus,????,673
404,2009,1,2009G050,B???20,Cocconeis placentula var. lineata,????,5383
405,2009,1,2009G050,B???20,Cymbella elginensis,????,673
406,2009,1,2009G050,B???20,Cymbella silesiaca,????,16148
407,2009,1,2009G050,B???20,Diatoma vulgaris,???,673
408,2009,1,2009G050,B???20,Fragilaria capucina,????,1346
409,2009,1,2009G050,B???20,Fragilaria capucina var. vaucheriae,????,673
410,2009,1,2009G050,B???20,Fragilaria construens f. venter,????,4037
411,2009,1,2009G050,B???20,Fragilaria ulna,????,673
412,2009,1,2009G050,B???20,Gomphonema angustum,????,5383
413,2009,1,2009G050,B???20,Gomphonema olivaceum var. olivaceoides,????,2019
414,2009,1,2009G050,B???20,Gomphonema parvulum,????,673
415,2009,1,2009G050,B???20,Melosira varians,????,673
416,2009,1,2009G050,B???20,Navicula bacillum,????,673
417,2009,1,2009G050,B???20,Navicula cincta,????,673
418,2009,1,2009G050,B???20,Navicula cryptotenella,????,2019
419,2009,1,2009G050,B???20,Navicula gregaria,????,2691
420,2009,1,2009G050,B???20,Navicula perminuta,????,673
421,2009,1,2009G050,B???20,Navicula viridula var. rostellata,????,673
422,2009,1,2009G050,B???20,Nitzschia dissipata,????,673
423,2009,1,2009G050,B???20,Nitzschia fonticola,????,7401
424,2009,1,2009G050,B???20,Nitzschia inconspicua,????,42389
425,2009,1,2009G050,B???20,Nitzschia linearis,????,673
426,2009,1,2009G050,B???20,Nitzschia palea,????,673
427,2009,1,2009G050,B???20,Reimeria sinuata,?????,3364
428,2009,1,2009G050,B???20,Surirella splendida,????,673
429,2009,1,2010G027,B??B4,Achnanthes delicatula,????,6632
430,2009,1,2010G027,B??B4,Achnanthes lanceolata,????,1658
431,2009,1,2010G027,B??B4,Achnanthes minutissima,????,4974
432,2009,1,2010G027,B??B4,Amphora veneta,????,1658
433,2009,1,2010G027,B??B4,Cocconeis placentula var. euglypta,????,3316
434,2009,1,2010G027,B??B4,Cocconeis placentula var. lineata,????,3316
435,2009,1,2010G027,B??B4,Cymbella silesiaca,????,38135
436,2009,1,2010G027,B??B4,Fragilaria capucina,????,1658
437,2009,1,2010G027,B??B4,Fragilaria pinnata,????,4974
438,2009,1,2010G027,B??B4,Gomphonema parvulum,????,1658
439,2009,1,2010G027,B??B4,Gomphonema quadripunctatum,????,1658
