"","Species","Total","Prop"
"330","Nitzschia intermedia",46.9,0.0765051033308267
"331","Nitzschia lanceolata",2,0.00326247775397981
"332","Nitzschia levidensis",2.5,0.00407809719247477
"333","Nitzschia linearis",30.6,0.0499159096358912
"334","Nitzschia lorenziana",0.3,0.000489371663096972
"335","Nitzschia nana",1.8,0.00293622997858183
"336","Nitzschia palea",1829.5,2.98435152545304
"337","Nitzschia palea var. debilis",2.9,0.00473059274327073
"338","Nitzschia paleacea",80.3,0.13098848182229
"339","Nitzschia pellucida",0.5,0.000815619438494954
"340","Nitzschia perminuta",12.9,0.0210429815131698
"341","Nitzschia pinnata",0.4,0.000652495550795963
"342","Nitzschia recta",2.9,0.00473059274327073
"343","Nitzschia rostellata",5.8,0.00946118548654146
"344","Nitzschia sigma",0.5,0.000815619438494954
"345","Nitzschia sigmoidea",0.6,0.000978743326193944
"346","Nitzschia sinuata",19.5,0.0318091581013032
"347","Nitzschia sinuata var. delongei",0.5,0.000815619438494954
"348","Nitzschia sinuata var. tabellaria",27.9,0.0455115646680184
"349","Nitzschia stagnom",0.4,0.000652495550795963
"350","Nitzschia subacicularis",2.8,0.00456746885557174
"351","Nitzschia tabellaria",33.2,0.0541571307160649
"352","Nitzschia terrestris",1.4,0.00228373442778587
"353","Nitzschia thermaloides",0.4,0.000652495550795963
"354","Nitzschia tryblionella var. salinarum",7.4,0.0120711676897253
"355","Nitzschia umbonata",1.5,0.00244685831548486
"356","Opephora (other)",2.5,0.00407809719247477
"357","Pinnularia (other)",12.4,0.0202273620746749
"358","Pinnularia borealis",1,0.00163123887698991
"359","Pinnularia braunii",0.2,0.000326247775397982
"360","Pinnularia gibba",2.9,0.00473059274327073
"361","Pinnularia karelica",0.5,0.000815619438494954
"362","Pinnularia maior",1.8,0.00293622997858183
"363","Pinnularia microstauron",4,0.00652495550795963
"364","Pinnularia subcapitata",0.2,0.000326247775397982
"365","Pinnularia tabellaria",0.3,0.000489371663096972
"366","Pinnularia viridis",1.1,0.0017943627646889
"367","Pleurosira laevis",2.5,0.00407809719247477
"368","Punctastriata linearis",13,0.0212061054008688
"369","Reimeria sinuata",413.1,0.673864780084531
"370","Rhoicosphenia abbreviata",106.9,0.174379435950221
"371","Rhopalodia gibba",0.7,0.00114186721389294
"372","Stauroneis acuta",1.3,0.00212061054008688
"373","Stauroneis phoenicenteron",1.4,0.00228373442778587
"374","Stephanodiscus (other)",32.4,0.052852139614473
"375","Stephanodiscus alpinus",3.2,0.0052199644063677
"376","Stephanodiscus hantzschii",361.2,0.589203482368755
"377","Stephanodiscus parvus",185.1,0.301942316130832
"378","Surirella (other)",6.1,0.00995055714963844
"379","Surirella andoi",0.2,0.000326247775397982
"380","Surirella angusta",39.1,0.0637814400903054
"381","Surirella capronii",0.1,0.000163123887698991
"382","Surirella lata",1.1,0.0017943627646889
"383","Surirella linearis",17.9,0.0291991758981193
"384","Surirella minuta",58.1,0.0947749787531136
"385","Surirella robusta",0.5,0.000815619438494954
"386","Surirella splendida",14.7,0.0239792114917516
"387","Synedra (other)",18,0.0293622997858183
"388","Synedra acus",54.3,0.088576271020552
"389","Synedra acus var. acula",1,0.00163123887698991
"390","Synedra acus var. angustissima",1.8,0.00293622997858183
"391","Synedra delicatissima var. angustissima",1.9,0.00309935386628082
"392","Synedra fasciculata var. truncata",16,0.0260998220318385
"393","Synedra inaequalis",3.1,0.00505684051866871
"394","Synedra ulna var. optusa",0.4,0.000652495550795963
"395","Tabellaria (other)",1.2,0.00195748665238789
"396","Tabellaria fenestrata",1.5,0.00244685831548486
"397","Tabellaria flocculosa",1.2,0.00195748665238789
"398","Thalassiosira bramaputrae",52.4,0.0854769171542712
"399","Thalassiosira weissflogii",4.3,0.0070143271710566
